2026-06-29 16:38:49 WARNING  job_search.adapters.lever: lever: fetch failed for Tractable: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/tractable?mode=json
2026-06-29 16:38:50 WARNING  job_search.adapters.lever: lever: fetch failed for Wayve: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/wayve?mode=json
2026-06-29 16:38:51 WARNING  job_search.adapters.lever: lever: fetch failed for Cazoo: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/cazoo?mode=json
2026-06-29 16:38:52 WARNING  job_search.adapters.lever: lever: fetch failed for Hopin: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/hopin?mode=json
2026-06-29 16:38:53 WARNING  job_search.adapters.lever: lever: fetch failed for Rippling: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/rippling?mode=json
2026-06-29 16:38:54 WARNING  job_search.adapters.lever: lever: fetch failed for Vercel: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/vercel?mode=json
2026-06-29 16:38:55 WARNING  job_search.adapters.lever: lever: fetch failed for Notion: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/notion?mode=json
2026-06-29 16:38:56 WARNING  job_search.adapters.lever: lever: fetch failed for Figma: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/figma?mode=json
2026-06-29 16:38:57 WARNING  job_search.adapters.lever: lever: fetch failed for Lyst: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/lyst?mode=json
2026-06-29 16:38:58 WARNING  job_search.adapters.lever: lever: fetch failed for Onfido: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/onfido?mode=json
2026-06-29 16:38:59 WARNING  job_search.adapters.lever: lever: fetch failed for Modulr: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/modulr?mode=json
2026-06-29 16:39:00 WARNING  job_search.adapters.lever: lever: fetch failed for Nuvei: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/nuvei?mode=json
2026-06-29 16:39:02 WARNING  job_search.adapters.lever: lever: fetch failed for Synthesia: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/synthesia?mode=json
2026-06-29 16:39:03 WARNING  job_search.adapters.lever: lever: fetch failed for Eleven Labs: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/elevenlabs?mode=json
2026-06-29 16:39:04 WARNING  job_search.adapters.lever: lever: fetch failed for Runway ML: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/runwayml?mode=json
2026-06-29 16:39:06 WARNING  job_search.adapters.lever: lever: fetch failed for Glean: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/glean?mode=json
2026-06-29 16:39:07 WARNING  job_search.adapters.lever: lever: fetch failed for Harvey AI: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/harvey?mode=json
2026-06-29 16:39:08 WARNING  job_search.adapters.lever: lever: fetch failed for Moveworks: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/moveworks?mode=json
2026-06-29 16:39:09 WARNING  job_search.adapters.lever: lever: fetch failed for Observe AI: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/observeai?mode=json
2026-06-29 16:39:10 WARNING  job_search.adapters.lever: lever: fetch failed for Cognigy: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/cognigy?mode=json
2026-06-29 16:39:11 WARNING  job_search.adapters.lever: lever: fetch failed for Arcee AI: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/arceeai?mode=json
2026-06-29 16:39:12 WARNING  job_search.adapters.lever: lever: fetch failed for Mistral AI: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/mistralai?mode=json
2026-06-29 16:39:13 WARNING  job_search.adapters.lever: lever: fetch failed for Adept: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/adept?mode=json
2026-06-29 16:39:14 WARNING  job_search.adapters.lever: lever: fetch failed for Together AI: 404 Client Error: Not Found for url: https://api.lever.co/v0/postings/together?mode=json
